polymer_id,unique_polymer_id,Polymer_names
1,1,(PMMA)n‐(PS)m‐polyDVB
2,1,(PEG)p‐(PMMA)n‐(PS)m‐polyDVB
3,1,(PtBA)k‐(PMMA)n‐(PS)m‐polyDVB
4,2,acetylenated polystyrene
5,2,α‐norbornenyl polymethyl methacrylate macromonomer
6,2,naphthoylated polystyrene
7,2,(PS)m‐polyDVB
8,3,α‐silyl‐alkyne‐PS50‐polyDVB
9,3,POSS‐PtBA43‐polyDVB
10,3,POSS‐PS50‐polyDVB
11,3,α‐silyl‐alkyne‐PtBA43‐polyDVB
12,3,(PtBA)m‐(PS)n‐polyDVB
13,3,(PMMA)4n‐(PS)m‐polyDVB
14,3,(PS)n‐polyDVB
15,3,(PMMA)2n‐(PS)m‐polyDVB
16,3,(α‐silyl‐alkyne‐PS)n‐polyDVB
17,4,(alkyne‐PS)m‐polyDVB
18,4,(α‐anthryl‐PS)m‐polyDVB
19,5,(alkyne‐PS)n‐polyDVB
20,5,(PS)n‐polyEVBA
21,6,(bio)polyelectrolyte
22,6,poly(γ-glutamate)
23,7,(chloromethyl)polystyrene
24,8,(poly)phosphoric acid
25,8,polychloride
26,9,(pseudo)polyrotaxanes
27,9,polyphosphonium
28,9,poly(arylether)
29,10,(vinyl)polystyrene
30,11,(—)‐poly(MtOCAPA)
31,12,polyisobutyrene
32,12,"1,2-poly(butadiene)"
33,13,poly(S‐aryl thioester)
34,13,poly(β-myrcene)
35,13,"1,2-polybutadienes"
36,13,poly(diene)
37,13,poly-isoprene
38,14,"1,2‐polyisoprene"
39,15,"1,3-dimethyl polyphenylene vinylene"
40,16,"1,3-poly(glycerol phosphate)"
41,17,"1,3-polyol"
42,17,polyborazilene
43,17,poly(m-aniline)
44,17,ortho-poly(phenylene)s
45,18,"1,4-trans-polyisoprene"
46,18,"1,4-cis-polyisoprene"
47,19,"1,4-polybutadiene"
48,19,"1,2-polybutadiene"
49,19,"poly(1,4-butadiene)"
50,19,"1,4-polyisoprene"
51,20,"1,4-polybutadienes"
52,20,"poly(9,9-dioctyl-2,7-fluorene)"
53,20,poly(allylcarbosilane)
54,20,"linear 1,4-polybutadiene"
55,20,polystyrene-substituted  fullerene
56,21,poly(styryl) lithium
57,21,poly(norbornylene)
58,21,polyferrocenylene
59,21,azobenzene polyesters
60,21,"1,4-polydiene"
61,22,poly(alkyl ethylene phosphate)s
62,22,"1,4-polyisoprenes"
63,23,"1,4-trans polybutadiene"
64,24,poly(p‐phenylene alkylene)s
65,24,"1,4-trans-polybutadiene"
66,25,poly(methylvinylsilazane)
67,25,"1,4‐polymyrcene"
68,26,"1,4‐trans polybutadiene"
69,27,1-functionalized poly(1-octene)
70,28,1⋅poly(pyrrole)
71,29,"2,5-polybenzimidazole"
72,30,"2,7-polyfluorene"
73,30,poly(N-arylcarbazole-alt-aniline)
74,30,"poly(2,3-diphenyl-1,4-phenylene vinylene)"
75,31,"22,12-polyurethane"
76,32,"22,8-polyurethane"
77,33,"22,n-polyurethanes"
78,34,24-well polystyrene
79,34,polystyrene‐chambered
80,35,2‐(3‐thienyl) ethyl poly(ethylene glycol) methyl ether
81,35,poly(ethylene glycol) methyl ether chlorine
82,36,"3,4-n-dodecyloxybenzoyl poly(propylene imine)All"
83,36,epoxy polyfluorosiloxanes
84,37,"3-O-azidopropoxypoly(ethylene glycol)-2,6-di-O-thexyldimethylsilyl"
85,38,poly(4MPA−VEP)
86,38,3DOM polystyrene
87,39,poly(methylphenylvinylsiloxane)
88,39,polyorganoethoxysiloxanes
89,39,4-(poly(ethylene glycol)) styrene
90,40,polyprismane
91,40,4-polybutadiene
92,41,polyTIO
93,41,4-polyisoprene
94,41,"poly(1,3-glycerol carbonate)"
95,42,Asymmetric polyethersulfone
96,42,4000T-MV polyamide-imide
97,43,4‐alkylphenoxymethyl‐substituted polystyrenes
98,44,5C-phos-triz-polyol
99,45,6FDA poly(POSS-imide)
100,46,"6FDA-2,6-DAT polyimide"
101,47,6FDA-6FpDA polyimide
102,48,6FDA-DAM polyimides
103,48,6FDA-Durene polyimide
104,48,6FDA-ODA polyimide
105,49,6FDA-TFDB polyimide
106,50,6FDA-TeMPD polyimide
107,51,poly(trimethylsilyl)propyne
108,51,fluoropolyimide
109,51,6FDA-durene polyimide
110,52,6‐arm polypept(o)ide
111,53,8-shaped polystyrene
112,54,APTMS‐modified polyester
113,55,AT40 polyurethane
114,56,ATTA‐poly(AEMA)‐Au‐MPBA
115,57,AcSP‐polym‐OH
116,57,poly(PhPV)
117,58,Al(OH)3-polyacrylamide
118,59,vinyl polynorbornene
119,59,Aliphatic polyamides
120,59,poly(p‐CPP)
121,60,poly(ε-decalactone)
122,60,Aliphatic polycarbonates
123,61,Aliphatic polyketones
124,61,poly(vinyl pyridine)s
125,62,Alkyl polyglycosides
126,63,hydridopolycarbosilane
127,63,Allylhydridopolycarbosilane
128,64,Amphoteric polyacrylamide
129,65,Atactic polystyrene
130,66,Au−poly(DE)
131,66,poly(DE)
132,67,BAPB polyimide
133,68,carboxybetaine poly(arylene ether sulfone)
134,68,BAPDTB polyamide
135,69,tetrabromo-polycarbonate
136,69,BAPHFDS(A) polyimide
137,69,BAPHF polyimide
138,69,BAPHFDS(H) polyimide
139,69,6FDA-TrMPD polyimide
140,70,BA‐a polybenzoxazine
141,71,BA‐m polybenzoxazine
142,72,organometallic polyamides
143,72,BDIS polyamides
144,72,poly(amide urea)s
145,73,poly(OrnGlyGlyOrnGly)
146,73,BIEE‐crosslinked polyDMAEMA
147,74,BPA polycarbonate
148,75,BPA-polyarylate
149,76,Terephthalate polyesters
150,76,BPA-polycarbonate
151,76,polyhexamethylene guanidine
152,77,BPDA‐DDS polyimide
153,78,BPDA‐ODA polyimide
154,78,hydroxyl‐pendant polypyromellitimide
155,79,6FDA‐ODA polyimide
156,79,BPDA‐PDA polyimide
157,80,L-n polyesters
158,80,poly(bibenzoates)
159,80,BPE-Cn polyesters
160,81,poly(NIPAAm)‐CPAD
161,81,BTDA‐ODA polyimide
162,82,Biopolyol
163,83,Bis(3-aminopropyl)poly(tetrahydrofuran)
164,83,poly([ViEtIm]N(CN)2)
165,83,polyphosphinoboranes
166,84,Bisphenol A polycarbonate
167,85,Bisphenol-A polycarbonate
168,86,poly(MDS4P)s
169,86,poly(HPMA258)
170,86,Boltorn polyesters
171,86,Boltorn HB polyesters
172,86,poly(nBuA)
173,86,poly(HPMA70)
174,86,poly(MDS2P)
175,87,Bromomethylated poly(phenylene oxide)
176,88,Br‐polyols
177,89,BzT polysulfides
178,89,BzM polysulfides
179,90,poly(imide−amic acid)s
180,90,C polyols
181,91,C-polysaccharide
182,92,polystyrene-poly(2-vinylpyridine)
183,92,C60-polystyrene
184,93,CH2 polyisobutylene
185,93,CH3 polyisobutylene
186,94,CNT-polyethylene
187,94,CNT-polycarbonate
188,95,poly(8H4AQPF)
189,95,CO polyketone
190,96,CO2-polyols
191,97,CR-poly(BMI-MA)
192,97,AA‐IPA‐HD‐TMP polyester
193,97,CHDA‐BEPD polyester
194,98,polycarbonate‐toughened epoxy
195,98,reinforced‐polybenzoxazine
196,98,sisal‐polyester
197,98,alkali‐treated bamboo fiber‐polyester
198,98,PU‐polyester
199,98,Mg(OH)2-filled polyamide
200,98,soy‐polypropylene
201,98,bamboo‐polyester
202,98,PALF‐polyester
203,98,BRRVM polyester
204,98,fiber‐polyester
205,98,Transpolybutadiene
206,98,silver‐plated polyester
207,98,Ni-graphene polyimide
208,98,polypropylene-graphite
209,98,CaCO3-filled polyamide
210,99,poly(N‐methyl‐β‐alanine)
211,99,CaCl2 polyelectrolyte
212,100,Carboxylated polysulfone
213,101,Cardo polyetherketone
214,102,Chloromethylated polystyrene divinyl benzene
215,102,polycarbomethylsilane
216,103,poly(thioethersulfone)s
217,103,Chloromethylated polysulfone
218,104,Cibacron Blue F3GA-attached polyamide
219,105,"cis-1,4-polyisoprenes"
220,105,"Cis-1,4-polyisoprene"
221,105,ester polyols
222,106,polydiphenylenesulfophthalide
223,106,Cu-polyynides
224,107,Cyclic polystyrene
225,107,poly(dimethyl(methacryloyloxymethyl) phosphonate)
226,107,poly(FATRIFE)-TTC
227,108,C‐polyimide
228,108,poly(alkyl siloxane)
229,108,diamond‐like carbon polytetrafluoroethylene
230,108,polysine
231,109,DAM polyimide
232,109,poly(propylene glycol)dimethacrylate
233,110,DGEBA‐polyaminoamide
234,111,N-picolylpolyurethane
235,111,DIPEX-polystyrene
236,112,DOCDA-polyimides
237,113,diphenylphosphinopolystyrene
238,113,Diphenylphosphinopolystyrene
239,114,Di‐AC polyurethane
240,115,EHA-polyHIPE-silica
241,116,Endo-polygalacturonase
242,117,F-polyesters
243,117,F-polyester
244,118,FT-30 polyamide
245,119,Fe-polyazomethines
246,120,GA-cl-poly(AAm) NHG
247,121,GAP−IPDI polyurethane
248,121,disiloxane polyesters
249,122,GRGDS-(PEG)n-polyEGDMA(F)
250,123,Gd-cl-poly(AAm)
251,123,Gd-cl-poly(AAm) ZIO
252,124,Ggum-cl-poly(IA)
253,124,poly(BAPh)
254,125,Gt-cl-poly(AA)
255,125,polyether-esterurethane
256,126,H   2   O   poly
257,127,aryl-aliphatic polyamides
258,127,H(Ar2Sn)nH polystannanes
259,128,H-poly(DCPD)
260,128,poly(diethylstannane)
261,129,H-polyisoprene
262,130,polyester C
263,130,HAp-poly(MPC-IA)-CDDP
264,131,HBP1‐4 polyester
265,132,HCl‐doped polyaniline
266,132,P3MT‐coated polyester
267,133,HEC‐polyrotaxane
268,134,polyxylose
269,134,Heteropolysaccharides
270,135,metallocene polyolefin
271,135,Low density polyethylene
272,135,High density polyethylene
273,136,Homopolyacrylamide
274,137,Homopolyethylene
275,138,Homopolypropylene
276,139,poly 2-ABA
277,139,poly(methylenetetrasulfide)
278,139,IPDI-poly(propylene oxide)
279,140,ISB homo-polycarbonate
280,140,polycarvomenthide
281,141,ISB polycarbonate
282,142,"poly(ethylene naphthalene 2,6-dicarboxylate)"
283,142,Isotatic polypropylene
284,143,JLY124 polysulfide
285,143,JLY155 polysulfide
286,143,"poly(trans‐1,4‐isoprene)"
287,143,JLY121 polysulfide
288,144,Jeffamine polyetheramine
289,144,acryl-polyol
290,145,Jeffamine polyetheramines
291,146,K5 polysaccharide
292,147,Lexan polycarbonate
293,148,Linear poly(ethylene imine)
294,149,tyrosine‐derived polyarylates
295,149,L‐tyrosine‐derived polyarylates
296,150,M-poly-l-1(−)
297,150,poly(N-acryloyloxysuccinimide)
298,151,alkynyl-poly(ethylene glycol)-folate
299,151,alkynyl-methoxy poly(ethylene glycol)
300,151,MAH‐functionalized polyethylene
301,152,PEGDMA‐crosslinked poly(AMPS)
302,152,MBA‐crosslinked poly(AMPS)
303,153,MDI-polyurea
304,153,dry polyimine
305,154,AIBN‐polyHEMA
306,154,ME‐polyHEMA
307,154,MT‐polyHEMA
308,155,MPD polyamide
309,155,metal-polyphenol
310,156,MPS_7 polythioester
311,157,MWCNT‐polyamide
312,157,polyvinyltriethoxysilane
